SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,PredictExpected
6.3,2.5,4.9,1.5,Iris-virginica,Iris-versicolor
4.8,3.1,1.6,0.2,Iris-setosa,Iris-setosa
6.7,3.1,5.6,2.4,Iris-virginica,Iris-virginica
5.2,3.4,1.4,0.2,Iris-setosa,Iris-setosa
6.8,3.0,5.5,2.1,Iris-virginica,Iris-virginica
5.0,3.2,1.2,0.2,Iris-setosa,Iris-setosa
5.6,3.0,4.1,1.3,Iris-versicolor,Iris-versicolor
5.1,3.5,1.4,0.3,Iris-setosa,Iris-setosa
6.2,2.9,4.3,1.3,Iris-versicolor,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor,Iris-versicolor
4.3,3.0,1.1,0.1,Iris-setosa,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa,Iris-setosa
7.3,2.9,6.3,1.8,Iris-virginica,Iris-virginica
7.2,3.0,5.8,1.6,Iris-virginica,Iris-virginica
6.1,2.8,4.0,1.3,Iris-versicolor,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor,Iris-versicolor
4.5,2.3,1.3,0.3,Iris-setosa,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa,Iris-setosa
7.7,3.0,6.1,2.3,Iris-virginica,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica,Iris-virginica
5.9,3.2,4.8,1.8,Iris-versicolor,Iris-versicolor
6.5,3.0,5.8,2.2,Iris-virginica,Iris-virginica
6.6,2.9,4.6,1.3,Iris-versicolor,Iris-versicolor
6.2,2.8,4.8,1.8,Iris-virginica,Iris-virginica
5.4,3.9,1.7,0.4,Iris-setosa,Iris-setosa
4.9,2.4,3.3,1.0,Iris-versicolor,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor,Iris-versicolor
6.3,2.7,4.9,1.8,Iris-virginica,Iris-virginica
6.7,3.1,4.4,1.4,Iris-versicolor,Iris-versicolor
5.0,3.3,1.4,0.2,Iris-setosa,Iris-setosa
6.0,2.2,4.0,1.0,Iris-versicolor,Iris-versicolor
4.9,2.5,4.5,1.7,Iris-virginica,Iris-virginica
6.8,2.8,4.8,1.4,Iris-versicolor,Iris-versicolor
4.8,3.4,1.6,0.2,Iris-setosa,Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa,Iris-setosa
5.0,3.4,1.5,0.2,Iris-setosa,Iris-setosa
5.5,2.6,4.4,1.2,Iris-versicolor,Iris-versicolor
